inst#,actual,predicted,error,prediction
191,2:parcialmente_nublado,1:lluvioso,+,0.81
192,1:lluvioso,3:nublado,+,0.56
193,2:parcialmente_nublado,2:parcialmente_nublado,,0.47
194,3:nublado,3:nublado,,0.88
195,1:lluvioso,1:lluvioso,,0.64
196,1:lluvioso,2:parcialmente_nublado,+,0.78
197,3:nublado,3:nublado,,0.57
198,3:nublado,1:lluvioso,+,0.57
199,2:parcialmente_nublado,3:nublado,+,0.48
200,3:nublado,3:nublado,,0.46
201,2:parcialmente_nublado,2:parcialmente_nublado,,0.4
202,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
203,2:parcialmente_nublado,2:parcialmente_nublado,,0.99
204,2:parcialmente_nublado,1:lluvioso,+,0.66
205,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
206,3:nublado,1:lluvioso,+,0.43
207,3:nublado,3:nublado,,0.61
